1, 1: d_frst01.wav
212, 212: nrgywind.wav
213, 213: dethvrtx.wav
214, 214: mindblst.wav
215, 215: resurect.wav
216, 216: sumncrtr.wav
217, 217: sumndemn.wav
218, 218: sumnelem.wav
219, 219: blade01.wav
21a, 21a: blade02.wav
21b, 21b: blade03.wav
21c, 21c: blade04.wav
21d, 21d: blade05.wav
21e, 21e: boulder1.wav
21f, 21f: boulder2.wav
220, 220: crumble1.wav
221, 221: crumble2.wav
222, 222: crumble3.wav
223, 223: crumble4.wav
224, 224: dart01.wav
225, 225: dart02.wav
226, 226: flame01.wav
227, 227: flame03.wav
228, 228: flame05.wav
229, 229: mushrm01.wav
22a, 22a: mushrm02.wav
22b, 22b: mushrm03.wav
22c, 22c: spike01.wav
22d, 22d: spike02.wav
22e, 22e: spike03.wav
22f, 22f: spike04.wav
230, 230: vapor01.wav
231, 231: vapor02.wav
232, 232: vapor03.wav
233, 233: axe01.wav
234, 234: blunt01.wav
235, 235: crossbow.wav
236, 236: gilotin1.wav
237, 237: hvyswrd1.wav
238, 238: hvyswrd4.wav
239, 239: swish01.wav
23a, 23a: swish02.wav
23b, 23b: swish03.wav
23c, 23c: sword1.wav
23d, 23d: sword7.wav
23e, 23e: carpntry.wav
23f, 23f: dye.wav
240, 240: fshsplsh.wav
241, 241: liquid.wav
242, 242: lockpick.wav
243, 243: mortar.wav
244, 244: mystery1.wav
245, 245: mystery2.wav
246, 246: mystery3.wav
247, 247: poison.wav
248, 248: powder.wav
249, 249: scissors.wav
24a, 24a: scribe.wav
24b, 24b: spirtspk.wav
24c, 24c: z_horseft2.wav
24d, 24d: z_horseft1.wav
